filename;date;x;set;cl;pver;product;description
/libevent-2.0/x64/cygcrypto-1.1.dll;12/09/2023 19:41;64;avx (13665);2.41;1.1.1w;The OpenSSL Toolkit;OpenSSL library
/libevent-2.0/x64/cygevent-2-0-5.dll;30/11/2021 14:24;64;;2.25;n/a;n/a;n/a
/libevent-2.0/x64/cygevent_core-2-0-5.dll;30/11/2021 14:24;64;;2.25;n/a;n/a;n/a
/libevent-2.0/x64/cygevent_extra-2-0-5.dll;30/11/2021 14:24;64;;2.25;n/a;n/a;n/a
/libevent-2.0/x64/cygevent_openssl-2-0-5.dll;30/11/2021 14:24;64;;2.25;n/a;n/a;n/a
/libevent-2.0/x64/cygevent_pthreads-2-0-5.dll;30/11/2021 14:24;64;;2.25;n/a;n/a;n/a
/libevent-2.0/x64/cygssl-1.1.dll;12/09/2023 19:41;64;;2.41;1.1.1w;The OpenSSL Toolkit;OpenSSL library
/libevent-2.0/x64/cygwin1.dll;29/11/2023 14:20;64;;2.41;3.4.10;Cygwin;Cygwin POSIX Emulation DLL
/libevent-2.0/x64/cygz.dll;27/01/2024 11:12;64;;2.41;1.3.1;zlib;zlib data compression library
/libevent-2.0/x64/memcached-avx-tls.exe;29/02/2024 12:29;64;avx (1211);2.42;1.6.24;memcached:memcached-avx-tls;arch:x64-avx gcc:11.4.0 libevent:2.0 commit:1b3b855 tag:1.6.24 date:2024-02-27
/libevent-2.0/x64/memcached-avx.exe;29/02/2024 12:27;64;avx (1204);2.42;1.6.24;memcached:memcached-avx;arch:x64-avx gcc:11.4.0 libevent:2.0 commit:1b3b855 tag:1.6.24 date:2024-02-27
/libevent-2.0/x64/memcached-tls.exe;29/02/2024 12:28;64;;2.42;1.6.24;memcached:memcached-tls;arch:x64 gcc:11.4.0 libevent:2.0 commit:1b3b855 tag:1.6.24 date:2024-02-27
/libevent-2.0/x64/memcached.exe;29/02/2024 12:27;64;;2.42;1.6.24;memcached;arch:x64 gcc:11.4.0 libevent:2.0 commit:1b3b855 tag:1.6.24 date:2024-02-27
